Nomor Putusan,Tempat Domisili,Jenis Kelamin Penggugat,Jenis Kelamin Tergugat,Tanggal Pernikahan,Tanggal Perceraian,Umur Pernikahan,Jumlah Bulan,Pertengkaran,Perselingkuhan,KDRT,Ekonomi,Status Gugatan,Tahun Perceraian,Bulan Perceraian
439/Pdt.G/2024/PN Bks,Kota Bandung,Perempuan,Laki Laki,2018-04-20,2024-11-07,6 tahun 6 bulan,78.0,1,0,1,0,Dikabulkan,2024.0,11.0
440/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,,,,,0,0,0,0,Cabut Laporan,,
441/Pdt.G/2024/PN Bks,Medan Satria,Laki Laki,Perempuan,2002-02-23,2024-12-18,22 tahun 9 bulan,273.0,1,0,0,1,Dikabulkan,2024.0,12.0
447/Pdt.G/2024/PN Bks,Rawalumbu,Laki Laki,Perempuan,2016-08-13,,,,1,1,0,0,Gugur,,
448/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2015-09-23,2024-01-16,8 tahun 3 bulan,99.0,0,1,1,1,Dikabulkan,2024.0,1.0
450/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2021-11-26,,,,1,1,1,0,Ditolak,,
453/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2011-08-13,2024-11-05,13 tahun 2 bulan,158.0,1,1,1,1,Dikabulkan,2024.0,11.0
460/Pdt.G/2024/PN Bks,Bekasi Timur,Laki Laki,Perempuan,2011-06-04,2024-11-19,13 tahun 5 bulan,161.0,1,0,0,0,Dikabulkan,2024.0,11.0
461/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,1997-12-07,2024-01-11,26 tahun 1 bulan,313.0,1,1,1,0,Dikabulkan,2024.0,1.0
465/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2012-02-04,2024-11-21,12 tahun 9 bulan,153.0,1,1,0,0,Dikabulkan,2024.0,11.0
480/Pdt.G/2024/PN Bks,Pondokgede,Laki Laki,Perempuan,1997-03-15,,,,1,1,0,0,Gugur,,
484/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2017-10-07,2024-05-07,6 tahun 7 bulan,79.0,1,1,0,1,Dikabulkan,2024.0,5.0
485/Pdt.G/2024/PN Bks,Kota Bekasi,Laki Laki,Perempuan,2002-11-26,,,,1,0,0,1,Cabut Laporan,,
489/Pdt.G/2024/PN Bks,Medan Satria,Perempuan,Laki Laki,2021-10-03,2024-12-19,3 tahun 2 bulan,38.0,1,0,1,1,Dikabulkan,2024.0,12.0
490/Pdt.G/2024/PN Bks,Cileungsi,Perempuan,Laki Laki,2022-10-08,,,,1,0,1,1,Cabut Laporan,,
493/Pdt.G/2024/PN Bks,Kramati Jakarta,Perempuan,Laki Laki,2015-10-08,,,,1,1,0,0,Ditolak,,
494/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2016-10-02,2024-03-14,7 tahun 5 bulan,89.0,1,0,0,0,Dikabulkan,2024.0,3.0
495/Pdt.G/2024/PN Bks,Kota Bekasi,Perempuan,Laki Laki,2006-12-17,,,,1,0,1,1,Cabut Laporan,,
496/Pdt.G/2024/PN Bks,Kota Bekasi,Perempuan,Laki Laki,2011-10-29,2024-12-05,13 tahun 1 bulan,157.0,1,0,1,1,Dikabulkan,2024.0,12.0
504/Pdt.G/2024/PN Bks,Kabupaten Bekasi,Perempuan,Laki Laki,2021-05-15,2024-12-05,3 tahun 6 bulan,42.0,1,0,1,1,Dikabulkan,2024.0,12.0
508/Pdt.G/2024/PN Bks,Bekasi Timur,Laki Laki,Perempuan,2011-12-26,2024-12-12,12 tahun 11 bulan,155.0,1,1,0,1,Dikabulkan,2024.0,12.0
512/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2019-02-18,2024-12-05,5 tahun 9 bulan,69.0,1,0,0,1,Dikabulkan,2024.0,12.0
513/Pdt.G/2024/PN Bks,Kota Bekasi,Perempuan,Laki Laki,1993-06-19,2024-12-03,31 tahun 5 bulan,377.0,1,0,0,1,Dikabulkan,2024.0,12.0
517/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2015-02-19,2024-12-10,9 tahun 9 bulan,117.0,1,0,0,1,Dikabulkan,2024.0,12.0
519/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2013-12-21,2024-11-28,10 tahun 11 bulan,131.0,1,0,1,1,Dikabulkan,2024.0,11.0
522/Pdt.G/2024/PN Bks,Bekasi Barat,Perempuan,Laki Laki,2006-06-04,2024-03-05,17 tahun 9 bulan,213.0,1,1,1,0,Dikabulkan,2024.0,3.0
528/Pdt.G/2024/PN Bks,Bekasi Utara,Perempuan,Laki Laki,2012-09-09,2024-12-05,12 tahun 2 bulan,146.0,1,1,1,1,Dikabulkan,2024.0,12.0
537/Pdt.G/2024/PN Bks,Pasar Kemis,Laki Laki,Perempuan,2010-08-15,2024-12-19,14 tahun 4 bulan,172.0,1,0,0,1,Dikabulkan,2024.0,12.0
543/Pdt.G/2024/PN Bks,Cempaka Putih,Perempuan,Laki Laki,2022-07-01,2024-12-19,2 tahun 5 bulan,29.0,1,0,0,1,Dikabulkan,2024.0,12.0
547/Pdt.G/2024/PN Bks,Bekasi Selatan,Laki Laki,Perempuan,1999-12-18,2024-12-17,24 tahun 11 bulan,299.0,1,0,1,0,Dikabulkan,2024.0,12.0
548/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,1998-11-18,,,,1,0,0,1,Cabut Laporan,,
549/Pdt.G/2024/PN Bks,Pondok Melati,Perempuan,Laki Laki,2015-05-31,2024-03-07,8 tahun 9 bulan,105.0,1,0,0,1,Dikabulkan,2024.0,3.0
551/Pdt.G/2024/PN Bks,Bekasi Utara,Laki Laki,Perempuan,2004-12-18,2024-12-19,20 tahun 0 bulan,240.0,1,0,1,1,Dikabulkan,2024.0,12.0
556/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2020-06-29,,,,1,0,0,1,Ditolak,,
562/Pdt.G/2024/PN Bks,Bekasi Selatan,Perempuan,Laki Laki,2012-11-13,2024-04-04,11 tahun 4 bulan,136.0,1,0,0,1,Dikabulkan,2024.0,4.0
570/Pdt.G/2024/PN Bks,Pondokgede,Perempuan,Laki Laki,1998-10-10,2024-12-12,26 tahun 2 bulan,314.0,1,1,1,1,Dikabulkan,2024.0,12.0
576/Pdt.G/2024/PN Bks,Pondok Melati,Laki Laki,Perempuan,2010-10-17,2024-09-17,13 tahun 11 bulan,167.0,1,1,0,1,Dikabulkan,2024.0,9.0
586/Pdt.G/2024/PN Bks,Bekasi Timur,Perempuan,Laki Laki,2007-04-19,2024-03-19,16 tahun 11 bulan,203.0,1,0,1,0,Dikabulkan,2024.0,3.0
590/Pdt.G/2024/PN Bks,Kota Bekasi,Tidak diketahui,Tidak diketahui,,,,,0,0,0,0,Cabut Laporan,,
594/Pdt.G/2024/PN Bks,Jatiasih,Perempuan,Laki Laki,2019-09-28,2024-05-08,4 tahun 7 bulan,55.0,1,0,1,1,Dikabulkan,2024.0,5.0
596/Pdt.G/2024/PN Bks,Bekasi Barat,Laki Laki,Perempuan,1994-08-12,2024-02-15,29 tahun 6 bulan,354.0,1,0,0,1,Dikabulkan,2024.0,2.0
608/Pdt.G/2024/PN Bks,Rawalumbu,Laki Laki,Perempuan,2012-12-16,2024-07-23,11 tahun 7 bulan,139.0,1,0,0,0,Dikabulkan,2024.0,7.0
